Mineralienwelt 1 / 92,"Vladimir Zacek, Stanislav Oplustil","Eine ungewöhnliche Sulfidvererzung neben Dawsonit aus dem Bergbau von Slany in Mittelböhmen, Tschechien","z.B. Fülöppit, Semseyit, Jamesonit, Berthierit",
Mineralienwelt 1 / 92,Dieter Götz,"Über Mineralvorkommen des Hruby Jesenik (Altvatergebirge), Hohes Gesenke, Tschechien","Holubac, Granatova Skala, Chlupencik, Vozka-Cervena-Hora, Serak-Obri Skaly, Zlaty Chlum bei Jesenik, Schinderhübel bei Marsikov, Scheibengraben bei Marsikov, Bienergraben bei Stetinov, Pfarrerb bei Sobotin, Hackschüssel bei Vernirovice, Fellenberg bei Sobotin, Krasne, Praded",
Mineralienwelt 1 / 92,Jaroslav Hyrsl,"Über Barytvorkommen in der Gegend von Teplice, Böhmen",,
Mineralienwelt 1 / 92,Erwin Burgsteiner,"Über den historischen Bergbau und die Mineralien im Felbertal, Österreich",,
Mineralienwelt 1 / 92,Rainer Mrazek,"Über den Kupferbergbau Larzenbach bei Hüttau, Salzburg",,
Mineralienwelt 1 / 92,Gerhard Niedermayr,Die Bestimmung von geschliffenen Edel- und Schmucksteinen mit einfachen Hilfsmitteln Teil 1,,
Mineralienwelt 1 / 92,Hans Werner Graf,Fundstellen und Mineralien in der Nordeifel, ,
Mineralienwelt 2 / 92,Artur Wittern,Schuhmacherit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 02 300.pdf.pdf
Mineralienwelt 2 / 92,Peter Bosse,China - Eine Erlebnisreise ins Reich der Mitte,,
Mineralienwelt 2 / 92,Colonel Quintin Wight,Mount Saint Hilaire,,
Mineralienwelt 2 / 92,Christian Schlomann,Die Mineralien vomn Wattkopftunnel bei Ettlingen im Nordschwarzwald,,
Mineralienwelt 2 / 92,Torgeir T.Garmo,Neue Mineralfunde aus Norwegen,"Calcit aus Kjorholt, Grua-Hadeland, Oyna - Froland, Kristiansund - More og Romsdal",
Mineralienwelt 2 / 92,Gerhard Niedermayr,Die Bestimmung von geschliffenen Edel- und Schmucksteinen mit einfachen Hilfsmitteln Teil 2,,
Mineralienwelt 2 / 92,Wendell E.Wilson,"Die Antimongruben am Georgsee in Neubraunschweig, Kanada",,
Mineralienwelt 2 / 92,Gerhard Sansoni,Drahtsilberstufen aus dem Freiberger Revier,,
Mineralienwelt 2 / 92,Konrad Bartnik,Die Turmaline des Granulitgebirges in Sachsen,,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Zirkon und Hyalit vom Rothenberg, Eifel",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Apatit von den Wannenköpfen, Eifel",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Zeophyllit vom Ettringer Bellerberg, Eifel",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Andradit und Ilmenit vom Nickenicher Sattel, Eifel",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Tucekit von der Grube Adler, Siegerland",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Baryt, Calumetit, Bariumchloridhydrat, und ß-Bleichlorid von der Juliushütte, Harz",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Corkit, Preisingerit und ein Mineral der Rheihe Woodhouseit- Crandallit von der Grube Clara",,
Mineralienwelt 2 / 92,"Günther Blaß, Hans Werner Graf","Famatinit und Posnjakit von der Grube Kleinkogel-Unterbau, Brixlegg, Österreich",,
Mineralienwelt 2 / 92,Hasso Lutz Gehrmann,"Der Eichhamstockin der Venedigergruppe, Osttirol",,
Mineralienwelt 2 / 92,Erwin Burgsteiner,Strahlerportrait: Alfons  Wurnitsch,,
Mineralienwelt 3 /92,Artur Wittern,Behoit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 03 300.pdf
Mineralienwelt 3 /92,"Steffen Möckel, Nikolai Frischmann",Mineralien der Quecksilber-Lagerstätte Nikitovka in der Ukraine,,
Mineralienwelt 3 /92,Günther Blaß,"Interessante Mineral-Paragenesen mit ungewöhnlich ausgebildeten Kristallen vom Laacher See-Vulkan, Eifel",,
Mineralienwelt 3 /92,Hans Werner Graf,Mineralien der Nordeifel Teil 2,,
Mineralienwelt 3 /92,Jaroslav Hyrsl,Über das Vorkommen von Russelit und Koechlinit im sächsisch-böhmischen Erzgebirge,,
Mineralienwelt 3 /92,Erwin Burgsteiner,"Axinitfunde im Habachtal, Österreich",,
Mineralienwelt 3 /92,Horst Hanke,"Laurion in Attika, Griechenland und seine Mineralien",,
Mineralienwelt 3 /92,"Gerhard Niedermayr, Alois Steiner","Ein Neufund des seltenen PbBi-Sulfids Aschamalmit aus dem Habachtal in Salzburg, Österreich",,
Mineralienwelt 3 /92,Gerhard Niedermayr,Smaragde aus Hydrothermal-Paragenesen,,
Mineralienwelt 3 /92,"Gerhard Niedermayr, Ferdinand Stefan","Ein interessanter Fund von Allanit-(Ce) aus dem Falkenbergtunnel in Klagenfurt, Kärnten",,
Mineralienwelt 4 / 92,Heinz Groh,Phenakit im Erzgebirge,Neufund vom Röthenbach bei Sosa,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 04 300.pdf
Mineralienwelt 4 / 92,"Marco Franzini, Paolo Orlandi, Giovanni Bracci, Domenico Dalena",Die Mineralien des Marmors von Carrara,!,
Mineralienwelt 4 / 92,Martin Beer,Achate und andere Mineralien aus den nordostböhmischen Melaphyren,,
Mineralienwelt 4 / 92,Dietmar Leonhardt,"Die Grube Lorenz Gegentrum bei Halsbrücke nördlich Freiberg, Sachsen",,
Mineralienwelt 4 / 92,Dieter Bartnik,Johannes Mathesius zu Joachimsthal- Vater der Mineraliensammler,,
Mineralienwelt 4 / 92,Gerhard Niedermayr,Szepterquarze,,
Mineralienwelt 4 / 92,"Gerhard Niedermayr, Hubert Fink","Cookeit aus einer alpinen Kluftparagenese im Vosterbachtal in der Rauris, Salzburg, Österreich",,
Mineralienwelt 4 / 92,Franz Stockinger,Magnesit-Bergbau Hohentauern,,
Mineralienwelt 5 / 92,Hans Schaarschmidt,"Bergbau und Mineralien der ehemaligen Schwefelkiesgrube ""Einheit"" bei Elbingerode im Harz",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 05 300.pdf
Mineralienwelt 5 / 92,"Peter Modreski, Regina Modreski","Denver, Colorado, die Börse, die Stadt, das Land","Pikes Peak, Blackhawk, Central City, Idaho Springs, Boulder County, Chaffee County, Crystal Mountain, Jefferson County, Weld County",
Mineralienwelt 5 / 92,Günther Blaß,Spektakuläre Neufunde vom Eicher Sattel in der östlichen Vulkaneifel,"Nickenichit, Duhamelit",
Mineralienwelt 5 / 92,"Steffen Herrmann, Dieter Götz, Fritz Schlegel","Neue Erkenntnisse zur Mineralisation des König David Stehenden, Schneeberg",,
Mineralienwelt 5 / 92,Gerhard Niedermayr,Der Goldbergbau in den Castle Mountains im San Bernadino County in Kalifornien - ein Goldbergbau im 20. Jahrhundert,,
Mineralienwelt 5 / 92,"Frank Oppenländer, Hermann Joachim",Die Grube Johann am Klosterbach bei Wittichen,,
Mineralienwelt 5 / 92,Gerhard Niedermayr,Das Einschlußbild von Smaragden aus Serpentinitrandgesteinsserien (Typus Habachtal),,
Mineralienwelt 5 / 92,Gerhard Niedermayr,Die Mineraliensammlung des Grafen von Tirol auf Schloß Ambras,,
Mineralienwelt 5 / 92,Petr Paulis,Über erstmals vom Gebiet der Tschechei beschriebene Minerale,,
Mineralienwelt 6 / 92,Thomas Witzke,"Neues zu den Mineralien von Schlema Hartenstein und der Grube König David, Schneeberg",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 06 300.pdf
Mineralienwelt 6 / 92,"Christian Schlomann, Helge Steen",Menzenschwand : Das Ende des Uranbergbaus im Schwarzwald,,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Kermesit von der Grube Apollo, Raubach",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Bournonit von der Grube Silbersand, Mayen",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Bayldonit von der Grube Castor, Bergisches Land",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Beyerit von der Grube Dorothea, Freudenstadt",,
