Lapis 10 / 1978,F. Pfaffl,Crystalli Islandici,"Island Helgustadir, Islandspat",D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 10 300.pdf
Lapis 10 / 1978,Dr. B. Neuschäfer,Calcit als optisches Bauelement,,
Lapis 10 / 1978,Prof. Dr. H. Meixner,Fibroferrit von Laurion,,
Lapis 10 / 1978,K. H. Ritter,Hyalit und Langit von Laurion,,
Lapis 10 / 1978,Dr. K. L. Weiner,Mineralogie als Beruf,,
Lapis 10 / 1978,G. Gebhard,Mineralogische Notizen aus dem Harz,"Huneberg, Spitzenberg, Bad Harzburg, Ochsental, Okertal, Grube “Henriette”",
Lapis 10 / 1978,F. Bauer,Sammelnotizen aus Spanien,"Cordoba, Ciudad Real, Sevilla, Badajoz, Salamanca",
Lapis 10 / 1978,Prof. Dr. E. Gübelin,Maw-sit-sit,Jadealbit,
Lapis 10 / 1978,"W. E. Wilson, P. J. Dunn",Kalahari,Kalahari Manganese Field,
Lapis 11 / 1978,"Dr. K. L. Weiner, R. Hochleitner",Mit Lupe und Röntgenstrahl,Mineralbestimmung,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 11 300.pdf
Lapis 11 / 1978,R. Hochleitner,Der Anfang – Mineralbestimmung nach äußeren Kennzeichen,Mineralbestimmung,
Lapis 11 / 1978,Prof. Dr. G. Troll,Das Handstück,Mineralbestimmung,
Lapis 11 / 1978,Dr. J. Clemente,Die Sache mit dem Lötrohr,Mineralbestimmung,
Lapis 11 / 1978,"I. Meyer, Dr. H. Rösch",Der Röntgenstrahl,Mineralbestimmung,
Lapis 11 / 1978,Prof. Dr. H. Ballczo,Korundstäbchen,Mineralbestimmung,
Lapis 11 / 1978,H. Bürger ,Bestimmung ohne Zerstörung – Gemmologie,Mineralbestimmung,
Lapis 11 / 1978,Prof. Dr. C. M. Gramaccioli,Kristalle aus den Marmorklippen,Carrara,
Lapis 11 / 1978,"Dr. K. L. Weiner, R. Hochleitner",Bücher zur Bestimmung von Mineralien,Mineralbestimmung,
Lapis 11 / 1978,G. Gebhard,Die Mineralien des Harzes,,
Lapis 12 / 1978,,Vom Himmel gefallen,Meteoriten,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 12 300.pdf
Lapis 12 / 1978,,Von allerhand Feuerkugeln,Meteoriten,
Lapis 12 / 1978,Prof. Dr. P. Ramdohr,Was sind Meteorite ?,Meteoriten,
Lapis 12 / 1978,Prof. Dr. H. von Phillipsborn,Widmanstättsche Figuren,Meteoriten,
Lapis 12 / 1978,H. Schmeltzer,"Imilac, Chile",Meteoriten,
Lapis 12 / 1978,W. F. Dearer,Am Rande des großen Kraters,"Barringer-Meteoriten- Krater in Arizona, Meteoriten",
Lapis 12 / 1978,Prof. Dr. W. von Engelhardt,Impaktkrater,Meteoriten,
Lapis 12 / 1978,H. Lämmler,Meteorite – richtig geschliffen ,Meteoriten,
Lapis 12 / 1978,Prof. Dr. F. Heide,Der Meteoritenfall,Meteoriten,
Lapis 12 / 1978,W. Zeitschel,Meteoritenfälle,Meteoriten,
Lapis 12 / 1978,"K. Schebesta, Dr. H. Weniger",Kleines aus dem Großen Fleißtal,Gjaidtroghöhe,
Lapis 1 / 1979,,Turmalin  ,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1979 01 300.pdf
Lapis 1 / 1979,Prof. Dr. C. Tennyson,Der Feinbau des Turmalins,,
Lapis 1 / 1979,Prof. Dr. E. Althaus,Wassermelonen und Mohrenköpfe,Turmalin  ,
Lapis 1 / 1979,Prof. Dr. C. Tennyson,Schörl vom Hörlberg,,
Lapis 1 / 1979,S. Lareida,Man miete sich einen Esel ...,"Elba, Turmalin",
Lapis 1 / 1979,"Prof. Dr.P. Bariand, J. F. Poullen",Nicht nur Lapis ! ...,Turmalin  aus Afghanistan,
Lapis 1 / 1979,Prof. Dr. H. Strunz,"Anjanabonoina, Fundort schönster Turmaline",Turmalin  ,
Lapis 1 / 1979,Dr. J. Berger,Kostbare Klippen,Turmalin  von Namibia,
Lapis 1 / 1979,R. Hochleitner,Dravit von der Drau,,
Lapis 1 / 1979,Dr. W. Birch,Kein Land für Turmaline ?,Turmaline aus Australien,
Lapis 1 / 1979,J. Sinkankas,Turmalinreiches Kalifornien,,
Lapis 1 / 1979,Prof. Dr. E. Gübelin,Einschlüsse in Turmalin,,
Lapis 1 / 1979,Dr. K. L. Weiner,Kristallformen: Tracht und Habitus beim Turmalin,,
Lapis 1 / 1979,K. Fischer,Knallerbsen un Katzenaugen,Turmalin  ,
Lapis 1 / 1979,,Aschetrekker,Turmalin  ,
Lapis 2 / 1979,Dr. W. Lieber,Leicht verständliche Geheimsprache – Teil 1,chemische Formeln,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1979 02 300.pdf
Lapis 2 / 1979,Dr. F. Bianconi,Tremolit von Campolungo,,
Lapis 2 / 1979,Dr. H. J. Wilke,Murgul,,
Lapis 2 / 1979,Dr. K. L. Weiner,Mit Taschenrechner und Zirkel,,
Lapis 2 / 1979,Dr. W. Lieber,Blüten im Mineralreich,,
Lapis 2 / 1979,Dr. L. Horvath,Mount Saint Hilaire,,
Lapis 2 / 1979,Prof. Dr. H. Ballczo,Korundstäbchen – Teil 2,,
Lapis 2 / 1979,G. Schöttler,Roughtongill Mine / Cumberland,,
Lapis 2 / 1979,G. Gebhard,Das Juwel aus dem Bergmannstroster Gang,Topazolith,
Lapis 2 / 1979,H. G. Diederich,Die Bergwerks- und Hüttenschau in Lautenthal / Harz,,
Lapis 2 / 1979,R. Rykart,Friedlander- und Bambauer Quarze,,
Lapis 2 / 1979,Dr. J. Clemente,Die Sache mit dem Lötrohr – Teil 3,,
Lapis 3 / 1979,Dr. W. Lieber,Diamanten Bruchstücke der Ewigkeit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1979 03 300.pdf
Lapis 3 / 1979,Dr. A. Hanauer,Micromounts,,
Lapis 3 / 1979,Dr. W. Lieber,Leicht verständliche Geheimsprache – Teil 2,chemische Formeln,
